note; resume; opinions
6.0; Agréable ; Accès pas facil. Parking pas très bien entretenu.| La disponibilité et le dynamisme du personnel. La propreté de l'établissement. La sécurité |
8.0;Beau cadre. Assez caché mais paisible et tres propre. Dommage pas de vue.; Entrée non bitumée.|
6.0; Agréable ; petit dejeuner, l'hotel se trouve dans le milieu du quartier residentiel| personnel tres agreable, tout est nouveau|
7.0; Bien  ;

9.0; Fabuleux  ;

8.0; Très bien ;

8.0; Très bien ;

7.0; Bien  ;

8.0; Très bien ;

8.0; Très bien ;

7.0; Bien  ;

8.0; Très bien ; Très bien situé, demandez une chambre à l’arrière et non sur le boulevard. Belle décoration en revanche certains équipements ont fait la 2e guerre mondiale (je pense au téléphone d’une autre époque) Personnel aux petits soins!!|
8.0; Très bien ; Les moustiques au restaurant, si tu es mini à cause la chaleur,t’es mort | La chambre était propre et de matériel neuf,le personnel à l’écoute peu importe l’heure. Le petit déjeuner très varié .vraiment super |
8.0;Très agréable!; Premièrement la devanture de l’hôtel n'est pas jolie elle est vielle, il faudrait vraiment la rénover au point ou quand on nous a déposé devant on a eu peur de ce qui nous attendait à l’intérieur. alors qu'en fait l’intérieur est très jolie. aussi le service en chambre est très lent, trop lent. dommage.| j'ai adoré l’hôtel et les enfants aussi. très beau,propre. les chambres sont spacieuses et comme on était quatre ils nous ont rajouté un matelas avec son sommier confortable plus le lit bébé, le tous GRATUIT!!! tous les appareils dans la chambre et la douche fonctionnaient bien (j'avais peur du contraire) avec le nécessaire disponible pour se faire un thé ou un café dès que l'on veut. le petit déjeuner est très bien et vaut son prix et le restaurant LE TOURNEBROCHE est top (cuisine délicieuse). une très belle piscine où l'on a passé beaucoup de temps tellement on a aimé. Nous, on a trouvé notre adresse à Douala. je recommande sans hésiter|
7.0;Cet hôtel reste selon moi celui qui offre le meilleur compromis sur Douala; Certaines chambres mériteraient un rafraichissement. Climatisation trop trop bruyante, pour une efficacité relative.| L'emplacement de l'hôtel, la gentillesse et disponibilité du personnel, l'accueil, l'espace piscine (certainement le plus beau de Douala)|
8.0; Très bien ; Le quartier où il faut être très prudent de jour comme de nuit. | Le restaurant avec la piscine La disponibilité et gentillesse du personnel. Hôtel au centre de douala pratique pour les rv professionnels|
7.0; Bien  ; Le personnel très agréable et la grande piscine. |
6.3; Agréable ; Les couvertures defraichies| L accueil |
7.0;Halte confortable dans hôtel très central; Qualité du réseau internet mauvaise| Chambre bien rénovée et spacieuse Situation de l'hôtel Belle piscine Petit déjeuner bien garni|
8.0; Très bien ; La climatisation qui ne fonctionnait pas bien| Belle chambre très propre|
6.0;Agréable; Le bruit à l’extérieur.proche de la route| Cool endroit pour la famille et sécurité|
8.8; Très bien ; La chambre était super. Le personnel sympathique et à l’écoute. Grande et assez propre piscine |
8.0;Quiétude en plein centre du tumulte de Douala; ras| Parfait: accueil, personnel et propreté dignes d'un hôtel international...|
8.8;très bon séjour; Le traditionnel beignets-haricots|
7.5; Bien  ; Le matelas est trop dur pour un hôtel 4 étoiles  Le Room service reste à améliorer. La boisson ( l’eau coke ) les prix sont excessif | L’emplacement |
7.9; Bien  ; J'ai beaucoup aimé mon séjour mais sauf q c'est trop cher pour public |
7.5;une valeur sûre à Douala; il faudrait que toutes les chambres soient au même standard de rénovation| l'accueil , la tranquillité côté jardin|
7.1; Bien  ; vieillesse / modestie des installations | le personnel / la piscine |
7.9;ormis les petites tracasserie du début ! motre sejour était à la hauteur de mes attentes.; A notre arrivé à 14h chambre pas prête. Le concierge nous a demander d attendre malgré l'info capital de ma part que nous devons nous préparer pour notre mariage le lendemain matin ! pas de verre à boire pour faciliter notre attente mais le barman nous demander si on voulait commander a nos frais. nous avons demander de mettre en conciergerie nos bagages puis nous sommes partis vu que la chambre à 14h45 ETAIT TOUJOURS PAS PRÊTE. Le réceptionniste nous à mentionner le montant de notre séjour au dessus de 100€ en plus du prix réservé sur BOOKING avec précompte sur carte de 200 000 fcfa de garantie. Le lendemain j ai pris mon temps pour rencontrer la référente BOOKING qui a régulariser le BON montant à payer.  Le système de carte fonctionne très mal avec l ascenseur, j ai changer les deux cartes le deuxième jour| Accès à l'hôtel, bonne accueil pour ceux qui avaient la réponse a mes questions. le coté piscine et infrastructure périphérique avec snack et bar super !  la navette Hôtel Aéroport|
6.3;Pas mon meilleur séjour.; La qualite du reseau wi-fi, mais l'hotel ne pzut pas etre porte seul responsable....Les travaux pendant la journée, (renovation des chambres peut etre considere comme comprehensible, mais....en plus de ça... des travaux d'entretien bruyants nocturnes (3heures du matin un weekend pour désinfecter le jardin (sans avoir reçu aucune information sur le sujet au préalable )., ca ,j'ai beaucoup moins apprécié.| L'amabilité du personnel ,la réaction au problème soulevé plus bas.|
7.5; Bien  ; surtaxe à l arrivée.|
6.7; Agréable ; La connexion wi-fi catastrophique |
7.1;Heureusement que l’amabi Du personnel couvre la vétusté du bâtiment; Que des travaux se fassent toute la journée| A part l’ama Du personnel pas grand chose  Il a besoin d’un bon rafraîchissement|
9.0;Très agréable; Parking en pleine rue| Petit déjeuner copieux Emplacement plein centre ville près de plein de commodité|
4.0; Décevant ; L'hotel a un besoin urgent de Rénovation!! La douche était complètement à renovier. Trop cher pour la qualité de la chambre que nous avons eu.| Le personnel était excellent: serviable, gentil, professionnel et toujours disponible. Le petit-déjeuner était super L'enceinte à l'extérieur agréable|

8.0; Très bien ; Oppressée pour libérer la chambre On m'a fait payer le petit déjeuner| Calme et propre|
9.0;Séjour starland ; La carte de la chambre qui dérangeais à chaque fois| La propreté  l’accueil du personnel |
8.0;Très bien; -| Petit déjeuner, piscine, moderne|
7.0;Très bel endroit à recommander; Carte pas variée au restaurant.| Très bel emplacement. Chambre spacieuse. Salle de sport et piscine|
7.0;Star land ; La piscine n’est pas très grande et le wifi n’est pas très fluide en chambre | Personnel accueillant propre vraiment je recommande |
7.0; Bien  ; Check-in trop long, pas de buffet au petit déjeuner |
8.0;Acceptable; Le personnel a l’accueil et au restaurant (petit-déjeuner) n’a pas été à la hauteur.| Le calme|
8.0; Très bien ; un seul restaurant dans l'hôtel , buffet peu varié| le confort de la chambre , un quartier calme à Douala avec des restaurants à proximité|
7.1;Pourrait beaucoup mieux faie; Que l'on nous dise que l'on ne pouvait pas ajouter une nuit, alors que cela a été finalement possible après l'intervention d'une tierce personne. Comme il y a trois ans, la wifi est de piètre qualité, il faut se reconnecter sans cesse en plus. Quand on travaille, c'est usant. La télévision, elle aussi, est régulièrement coupée et il n'y a que très peu de chaînes. Pour des chambres à 135 000 FCFA, c'est très limite.| La situation de l'hôtel, le personnel aimable.|
7.5; Bien  ; Le petit dejeuner|
7.9; Bien  ; La climatisation pas assez puissante malgré le réglage à 16 degrés et la ventilation à fond.  Le bruit de la pluie sur le toit qui n'est pas isolé, je déconseille fortement le dernier étage 7eme Le petit déjeuner n'est pas digne d'un hôtel de ce standing.| La chambre propre, le lit confortable, salle de bain correct, les rideaux occultant|
7.5;satisfaite même si le prix offert par booking n était pas le même sur le terrain; la réduction suite à la promotion de noël n a pas été prise en compte par l hotel| le service était parfait. le personnel accueillant |
8.3; Très bien ; Manque 2 eme fauteuil et table basse ds la chambre. Piscine pas accueillante. Restauration à améliorer mais plein de bon restos ds le quartier.| Un des établissements récents et moderne a Douala. Chambre de bonne taille, Sdb douche bien, room service petit dej rapide sinon patience. Bar sur le toit sMpa|
3.0;Le responsable au petit-déjeuner très impoli,désagréable quand on lui pose des questions sur le buffet. Au restaurant le; Le responsable du service petit-déjeuner qui parle mal aux clients et la lenteur du service. | Les réceptionnistes et les femmes de chambre sympathiques.|
5.0;Hotel de standing, l'un des meilleurs de la ville, mais service à revoir ou à améliorer; Un personnel à l’accueil disponible mais pas souriant ni chaleureux. Durant notre séjour il y avait des travaux. Du bruit dès 7h du matin un samedi. La matelas est très bien mais les oreillers ne sont en dessous des standards de l’hôtel. Le tarif booking indiquait que le petit déjeuner était compris dans la chambre (nous avons réservé 2 chambres pour un total de 4 personnes). Mauvaise surprise lors de la facturation, le petit déjeuner est compris mais seulement pour 1 personne par chambre. Supplément de 14.000 XAF (21 EUR) pour 1 petit déjeuner parce que nous étions 3 à le prendre (je précise que sur 4 personnes, 2 avait moins de 8 ans).| La chambre est très agréable, la literie de bonne qualité. Un buffet petit déjeuner varié. Des équipements et services qui fonctionnent.|
5.4; Passable ; tout| non|
4.5; Décevant ; Côté cuisine manque d'higiene j'ai ramassé un déchet de cafard dans mon assiette.  Et  le lendemain j'ai vu un cafard marché sur le plateau de fruits au petit déjeuner.| Croissant pas chaud.|
8.0; Très bien ; Les plafonds des douches étaient rouillées. La douche était bouchée | L’accueil |
8.0;Le standing est maintenu ; RAS| Ok|
9.0;Hôtel calme, propre et pratique pour un voyage d'affaires; Le seul hic à mon arrivée tard le soir : on m'informe que ma chambre avec lit double n'est pas disponible car l'air conditionné était en panne. Ils m'ont dirigé vers une chambre twin jusqu'au lendemain midi. Ce qui m'a obligée à déballer et remballer mes valises. L'accueil devait me contacter pour changer de chambre , mais ne voyant pas l'appel, je me suis rendue moi-même à l'accueil pour récupérer le badge de ma nouvelle chambre. J'aurai aimé que cette panne soit vérifiée et réparée avant mon arrivée. Il faudrait penser à plus d'anticipation et de réactivité par rapport aux services rendus.| Très bon petit-déjeuner. Chambre spacieuse et propre. Bonne literie propre. Accessoires pratiques dans la chambre. Coffre-fort. Belle vue du 4ème étage. Je n'ai pas vu de moustiques dans la chambre.|
7.5; Bien  ; La disponibilité du personnel |
10;Hôtel d’une propreté !; Tout est correct | Propreté et service excellent |
8.0; Très bien ;

6.0; Agréable ;

8.0;Très agréable; Etat des toilettes (vieillissante)| L'accueil et la disponibilité du personnel|
8.0; Très bien ; la climatisation est bruyante (même quand on l'arrête) et on ne peut pas ouvrir les fenêtres  il n'y a pas d'information (plaquette, brochure) dans les chambres (covid ?) ni de brosse pour nettoyer la cuvette des WC (covid ?) 1/2 journée supplémentaire offerte (bravo) navette aéroport (un plus d'autant que l'aéroport est à 6 minutes)| Sans doute le fait que l'hôtel était loin d'être complet, donc il était calme et bien tenu|
8.0;Bon rapport qualité/prix; Hôtel un peu vieillot mais on s y sent bien. | Staff très accueillant, service impeccable, hôtel très propre. Responsable commerciale à l attente des clients|
7.0; Bien  ; L'accueil|
7.0; Bien  ; Shuttle airport à l'arrivée |
8.8; Très bien ; Le petit déjeuner est cher| Ambiance agréable et personnel de qualité |
8.0;Contant de mon séjour à l'hotel ibis Douala; R/S| Très bon petit déjeuner|
8.0; Très bien ; La chambre est très petite et le buffet au petit déjeuner est très  chèrs. L'eau chaude de la salle de bain ne fonctionne pas elle est a la limite très tiède pas a mon goût| La disposition du restaurant et la piscine.|
6.0; Agréable ; Yes| Yes|
6.0; Agréable ; On a aucun contrôle sur la climatisation, on ne peut ni l'éteindre, ni la régler. | Le petit déjeuner est super |
8.0;Un bel hôtel avec une très bonne cuisine; Les Oreillers durs| La qualité de service et 'à gentillesse de l'ensemble du personnel|
6.0;Bon hotel pour un court sejour mais la literie doit etre remise au standard du groupe; La literie ne correspond pas au standard d'Ibis! J'ai ete desagreablement surprise de constater que le matelas n'est pas aussi confortable que dans d'autres Ibis.| Hotel bien situe et propre. Personnel sympathique et petit dejeuner tres agreable, mieux que dans d'autres Ibis.|
8.0;Hotel IBIS classique; Salle de bain OK. Restaurant avec buffet, pas de la grande gastronomie, mais largement suffisant et complet.  Un petit coin pour boire une bière.  L'emplacement près de l'aéroport est idéal.|
6.7; Agréable ; C'est très bon, mais mériterait de se faire une peau neuve dans l'intérieur des chambres (moquettes, appareils sanitaires, etc)| L'accueil et le confort du lit|
8.0;Bien mais peut mieux faire; La climatisation de la chambre n etait pas réglable ni éteignable. Le soir du 24 oct en arrivant après 23 h le service du bar étant fermé ( pour un hotel international...quand même ) le service du receptionniste était nul.| La convivialité du personnel|
7.1;Super; Tout s'est bien passé| La chambre |
8.8;j'y retournerai; Pas de room service après minuit| La literie, le calme, la propreté de la chambre, le personnel...|
7.1;Agréable; Rien| Le service|
6.3; Agréable ; L’espace trop petit | La joie du personnel |
7.1;repas à la carte prix assez élevés malgré tout!!; la qualité du lit trés moyenne avec un sur matelas pas assez moelleux et qui glisse en permanence a la surface du matelas. Les draps ne sont pas assez grands pour ce type de configuration.| la gentillesse du personnel|
7.1;Agréable.; La climatisation n'est pas bonne, j'ai transpiré toute la nuit.j'ai dû appeler et un technicien est venu et a constaté que la climatisation était bien réglée. Il n' y a pas une variété de chaines TV.| La variété du buffet petit déjeuner.|
7.5; Bien  ; Le personnel était très aimable, et l'ambiance tout au long de mon séjour était au top.|
7.5; Bien  ; La moquette de la chambre à changer. Paiement par carte impossible, j'ai donc du retirer de l'argent au distributeur à l’intérieur de l'établissement qui n'est pas ma banque résultat 3600 Fcfa de frais.| Les tenues du personnel, le lit.|
7.5;séjour agréable et personnels trés accueillant; Le transport par la navette était défaillant| Le petit déjeuner était bien|

7.0; Bien  ; Au une hôtesse après 22h c’est déplorable  J’ai du attendre 2h pour être installer par la sécurité...qui ne maîtrise pas absolument rien  Mais merci pour l’accueil avec autres  Sinon cadre sympathique |
7.1; Bien  ; Tout était agréable. RAS| La quietude des lieux|
8.3; Très bien ; La salle d eau| La localisation, la securité et le comfort.|
8.3;Séjour d'une nuit ; Tâches sur les draps| Personnel accueillant, studio spacieux et bien équipé, eau chaude, |
7.5; Bien  ; J' ai oublié ma poêle dans la cuisine et après avoir contacté l établissement j ai pu la récupérer,donc personnel honnête. |
6.3;Pas sur que je revienne dans cet établissement, que j'avais pourtant bien apprécié l'année dernière; L'accueil pas très chaleureux Le manque de souplesse le jour du départ. La coupure d'eau pendant plus de 12h.|
7.1; Bien  ; Odeur de renfermé . Réceptionniste distraite au téléphone.| Cadre fonctionnel et personnel chaleureux disponible et serviable |
8.8; Très bien ; Les lits à ressort ne sont pas assez confortables.|
1.0;Horrible! Pas recommandable personnel malhonnête; Tout accueil, honnêteté, propreté....| Je me suis trompée de résidence Le Carat  et j’ai souhaité changer surtout parce que cette résidence était absolument abominable. Sale, vétuste, pas d’électricité dans l’ascenseur, des tonnes de poussière dans les tapis, bref à vomir. J’ai réservé pour l’autre résidence le Carat a Bonapriso et  La dame à l’accueil 5 mn après mon arrivée me dit qu’elle ne peut pas rembourser ma caution donnée en cash car elle doit payer Booking. Mensonge car vous ne chargé pas cette résidence et,e personnel de l’autre Carat m’a dit qu’elle devait le rembourser. Je suis sur que cet argent n’est pas rentré dans les caisses...|
10; Exceptionnel ; Tout etait nickel sauf l'ascenseur qui deconne de temps en temps | Jai presque tout aimé |
9.2;Très beau séjour. Je recommande vivement; Personnel très à l'écoute|
2.9;Déception et mauvais service client; Le matelas plus petit que le lit et la chambre sans rideaux.| Rien du tout|
5.4; Passable ; Le lit très mal dréssé. l'odeur du renfermé, une seule serviette pour 2  de couleur douteuse|
9.0; Fabuleux  ;

8.0; Très bien ;

8.0;Le cadre est plaisant, le personnel est disponible. Michael est très à l’écoute. Établissement hôtelier que je recommand;

6.0; Agréable ;

6.9; Agréable ;

8.0; Très bien ;

8.3; Très bien ;

7.1; Bien  ;

7.5; Bien  ;

7.5; Bien  ;

6.3; Agréable ;

8.0;Beau sejour; Le mobilier dans la chambre réservée n'était plus trop en forme. Le lit grincait un petit peu. | L'accueil du personnel, leur disponibilité et leur promptitude de réaction aux remarques faites. |
9.0;Excellent rapport qualité prix; RAS| MAGNIFIQUE et je recommande aux voyageurs|
8.0;Agréable; Ras| Très bien, la réception et  surtout la disponibilité du personnel|
8.3;A refaire!; N'avoir pas pu accéder à la piscine sur le toit.| Tout a été parfaitement bien géré, de la réservation au départ.|
7.1;La qualité s'est dégradée comparativement à mon dernier séjour.; Bien que confirmée par un mail de l’hôtel, ma réservation n'était pas enregistrée, Les ascenseurs sont relativement vétustes, Le diner était cher et de qualité insuffisante, Aucun petit déjeuner ne m'a été servi, contrairement à ce qui était prévu| Le personnel est accueillant et disponible|
8.8;Super séjour!; Le fait que la réservation  d'une chambre de 2 personnes comprend qu'un seul petit déjeuner| très bel établissement! mérite un hôtel 4 étoiles au lieu de 3 ! j'ai apprécié sa propreté et la disponibilité du personnel|
5.4;bof; la taxe soit disant de séjour qui m'a été imputée alors même que je pensais avoir tout payé au préalable, par ailleurs une personne a été admise dans ma chambre à une heure indue sans mon consentement préalable, au motif pris de ce que je l'y avais emmenée quelques heures auparavant. ce genre de digression aurait pu m'être fatale| le petit déjeuner|
5.0;Decevant; Dissimulation d'informations relatives aux prix réels des services.|
8.8; Très bien ;

10; Exceptionnel ; Rien. | Emplacement et  propreté. |
8.0; Très bien ; La pression pour l'eau extrêmement faible| Les équipements, le design|
9.0; Fabuleux  ; Eneo | Propre , reposant et décoration inspirante|
9.0; Fabuleux  ; Lit un peu bruyant | Le cadre était bien calme, propre et convivial |
8.0;Bon séjour ; Mon court séjour s’est bien déroulé au sein de cet appartement qui est grand, bien décoré et sécurisé. Le lieu est calme et on y retrouve l’équipement de base. J’ai apprécié  |
8.0; Très bien ;

9.0; Fabuleux  ;

8.0; Très bien ;

8.3; Très bien ;

6.0;A oublier très vite...; Aucune indication, signalétique pour se rendre à cette résidence au dessus d'une banque... Propreté totalement absente, aucun service, ce n'est pas un hôtel mais une résidence de passage...avec tout les inconvénients et désagréments... Petit déjeuner basique, aucun effort pour améliorer le quotidien... Réceptionniste à fait ce qu'il pouvait faire, soit pas grand chose. Mais la volonté était la.| Pas grand chose, hormis le centre ville pour commodités et encore.|
8.0; Très bien ; mon séjour a été agréable | le confort des chambres|
8.0;mon séjour a été agréable; l’accès et la sortie du parking n'est pas évidente. J'ai eu l'impression que le sol n'avait pas été lavé avant mon arrivé. Poussière fine noir au sol| l'équipement, la superficie des pièces, l'emplacement et la sécurité|
8.0;Séjour plutôt plaisant, je découvre une adresse que je conseillerai bien à des amis; Le petit déjeuner pourrait être amélioré... Le personnel est plutôt nonchalant| Le confort, la propreté des lieux et surtout sa situation en plein centre ville. Je reviendrai bien volontiers|
6.0;Moyen; Qualité/prix| Il ne m'a pas été servi pendant mes trois de séjour|
8.0;Situation géographique intéressante, proche du centre ville et des restaurants ; Il n'y avait pas de  savon disponible pour la toilette et les serviettes avaient quelques tâches.| J'ai apprécié le calme, la situation géographique proche du Centre ville et le lit était confortable. |
6.7;Acceptable; La télé,la porte|
8.3;Belle petite chambre bien localisée ; Aucune enseigne à l'entrée, on ne sait pas quelle porte on doit prendre. La réception n'est ouverte que la journée. On ne sait pas me rendre ma monnaie le jour-même et quand on me la donne le lendemain il manque 300CFA, sans aucune excuse ni explication. Je réserve une chambre double avec petit-déjeuner, celui-ci n'est servi dans ma chambre qu'à une heure qu'on m'impose (8h) et pour une seule personne. Aucun choix possible de la boisson ni des pains, pas de confiture.| Literie confortable, propreté, modernité du bâtiment, bonne localisation, bonne qualité-prix. |
6.7;Bref.; Alors là: - l’ascenseur qui a failli lâcher avec moi, ça s’arrêtait à chaque étage et ça bloquait en même temps. - les cafards aux toilettes, l’eau chaude qui marchait un jour sur 3  - la clim s’arrêtait toute seule  - le téléphone pour appeler la réception ne fonctionne pas.| Le lit il était bien et confortable|
7.0;Cauchemardesque.; Le service  à  la clientèle  qui est absolument  nul Lorsque je suis arrivé  il n'y avait aucun agent pour  me recevoir alors que j'ai  pris soin de préciser l'heure de mon arrivée  par mail. C'est  le gardien qui s'est  débrouillé pour retrouver  un   agent par téléphone. L'attente  de l'agent a duré  30 minutes. Avant d'intégrer  ma chambre  j'ai donné  32000 pour payer ma facture  de 31500.L'agent ne m' a  jamais  remboursé la différence et il n'a pas cru nécessaire  de se justifier.  A la sortie je me suis rendu compte que j'avais  oublié  mes lunettes. La personne  qui jouait le rôle  du réceptionniste  était  incapable  d'ouvrir la porte  pour me permettre de récupérer mes lunettes. Il m'a demandé de repasser  lundi .Si je voyageais ce jour j'aurais laissé mes lunettes  au Cameroun  ou bien raté mon avion  Un vrai cauchemard le service à la clientèle dans cet hôtel.|
6.3;A améliorer .; Pas de récéption , pas de restaurant pour le petit-déjeuner .| Le rapport qualité/prix .|
7.1;Bon emplacement, proche du Centre ville; L'absence de cifons et des articles de toilettes dans la douche, la propreté de la salle de bain n'était pas correcte ainsi que celles des draps de lits| Le petit déjeuner matinal servi en chambre copieux, le calme et la situation géographique proche du centre ville et de plusieurs restaurants|
8.3; Très bien ; Tout|
7.9; Bien  ; Il serait bien qu 'il y ai un ou deux verres a disposition. un tapi de sortie de douche ne serait pas n 'négligeable non plus afin de ne pas glisser en sortant| Etablissement bien situé à Akwa, discret et confortable. Le personnel est  agréable et serviable. Pratique la navette qui récupère et ramène a l aéroport|
1.0; Médiocre  ; Accueil..| Rien|
2.0; Médiocre  ; J’ai séjourné dans cet établissement il y a un peu plus d’un an, c’est dire ma surprise de constater que tout s’est dégradé depuis (là propreté de la literie, de la salle de bain, du canapé, des fauteuils est douteuse ce qui dans un contexte de crise sanitaire inter épelle tout particulièrement , de plus les chaises sont cassées, les mûres ont des traces...) bref c’est vraiment dommage car l’emplacement est intéressant et ils ont connu des temps meilleurs.  |
9.0; Fabuleux  ; Définitivement c'est le meilleur de tous... L'appartement était super spacieux et le personnel très disponible. Tout était simplement parfait. Je pourrais y revenir mille fois. | La literie, la propreté et le caractère spacieux des pièces. Le calme malgré le fait que ce soit situé au centre ville.|
1.0;Les climatiseurs ne fonctionnent pas correctement, c’est infesté de cafards, pas de tire-bouchon, ni de napperons dans l; Tout le reste| L’emplacement |
5.0; Passable ; Acceuil|
9.0;Fantastique; Le petit déjeuner servit tardivement| Lit moelleux Cadre magnifique|
5.0;Agreable; Petit déjeuner.| Le lit très confortable. Moelleux|
9.2; Fabuleux  ; Rien| Tout|
9.2; Fabuleux  ; Très bon accueil.  L'appartement est spacieux et  confortable.  Pratique pour recevoir des collaborateurs. Et très bien situé dans la ville. |
9.2;Je recommande! ; Seuls bémols: je suis restée 3 jours sans eaux chaudes à mon arrivée (après il fait chaud donc c’est pas un drame ^^). Problème avec la wifi car je n’ai pas pu en avoir en continue. Enfin j’aurai apprécié un peu plus de propreté (j’ai du nettoyer moi même le frigo) néanmoins rien de bien méchant non plus. | Chambre très confortable, très agréable et tout semble récent. Bien équipée. Bertrand qui s’occupe de la logistique est disponible et attentif (n’a pas hésité à me guider pour me rendre où je voulais et même payer mon taxi). Service de navette aéroports impect aller comme retour et de surcroît gratuit. Bon rapport qualité prix! |

7.0; Bien  ; Absence de nécessaire de toilette| La litterie|
7.1;j'ai passé un bon séjour à Douala et dans votre établissement. merci.; l'absence d'un service d'entretien pendant mon séjour.| le silence et la proximité de l'aéroport, d'une voie principale et d'un marché.|
7.9; Bien  ; Coupures électriques et connexions faibles | Propreté et la disponibilité des personnels toujours présents |
7.5;Bien sympa à proximité de toutes commodités mais de grâce changez ce groupe électrogène; 1- déjà il y'a un problème avec Booking et l'établissement concernant les appellations (studio, chambres,et appartement) ici à l'étranger quand on parle de studio  c'est juste la chambre mais chez Booking c'est considéré comme un appartement une chambre et encore un appartement ici c'est à partir d'une chambre salon mais là-bas appartement c'est à partir de deux chambres d'où l'embrouille à la réception dès mon arrivée. 2- Mon logement était genre négligé encore heureux qu'ils ont vite nettoyé nickel. 3- service Internet oulaaaa je petais des cases par moment mais le monsieur à la réception avait des mots pour me rassurer et agissait vite😊 4- le lit oufti comme ça grinçait le bruit de ça oulaaaa 5-   la dernière semaine était le parcours de combattant la cerise sur le gâteau les coupures d'électricité avec le groupe électrogène à force de l'âge émettait plus de bruit qu'un orage pendant la pluie et pire encore le groupe tourne mais pas d'électricité et le bruit mélangé à la chaleur et la n plus tu ne peux pas ouvrir les fenêtres sinon bonjour les moustiques la souffrance.| Le personnel était vraiment très très très sympa le monsieur de la réception je préfère taire son nom et parlant avec toute simplicité et respect, et que dire du Virgile  10fois tu passes près de lui et 10fois il va te saluer 😊 toujours prêt à te donner un coup de main quand t'as les bras bien occupés Le jour que je reviendrai s'il n'est plus là sachez que je ne mettrai plus mes pieds dans votre établissement.|
7.1;Agréable Dans l ensemble; Il a fallu rappeler pour que le nettoyage soit fait et on a dû attendre 2 jours pour avoir le wifi| Les garçons de service étaient très serviables|
6.3; Agréable ; Le prix d'une chambre trop élevé.| L'accueil.|
6.3; Agréable ; L'absence de wifi| La propreté|
7.5;En grosd, la chambre etait bien, mais mon gros souci etait la connexion wifi; Absence totale de Wifi| La collaboration du personnel|
9.2;Mon sejour à la Maison rose de Douala; Tout est comme je souhaitais avant d'arriver.| Les employés sont serviable|
7.1; Bien  ; La plomberie dans la cuisine était en panne Les photos sur le site ne correspondait pas exactement au réalité sur place La propreté dans certaines pièces (salon) était moyenne| L’accueil, le personnel, la présence d un group électrogène |
7.1; Bien  ;

7.5; Bien  ;

7.9;Séjour conforme à mes attentes. Très bon du point de vue accueil, sécurité, tranquilité;

8.8; Très bien ;

7.9;agréable;

8.0;Agréable; Non respect des mesures de prévention contre la Covid19| L'accueil la disponibilité et la propreté au sein de l'établissement|
8.0;Hôtel très bien situé, bon rapport qualité/prix et personnel au top; Pas de bouilloire dans les chambres mais sur demande on peut en récupérer une à la réception| Très bon rapport qualité/prix au vu du très bon emplacement  de l’hôtel. Le personnel était au top! Très disponible et réactif|
4.0; Décevant ; J'ai eu un lit avec des punaises, la climatisation coulait| L'emplacement, facilité pour déplacement|
2.5;Hôtel pourrit à ne pas retenir Booking.com ne devrait pas le référencer ; Des puces dans la chambres, couvert de piqûres en une nuit ...  salle de bain médiocre fuite d’eau par terre  L’eau sans puissance ... Les peintures en mauvais état  Accueil désastreux voir méprisant  Hôtel à ne pas conseiller du tout  Je ne comprend pas que Booking.com  référence cet hôtel , qui n’en ai pas un  |
6.0;Agréable; Les tuyaux apparents dans la salle de bain|
10;A découvrir ; Franchement rien |  Je suis arrivé dans un hôtel où j'ai rencontré des équipes orientés vers ma satisfaction à tous les niveaux. Ça fait vraiment plaisir d'être accueilli par son nom. Les prestations sont au dessus d'un trois étoiles aux standards européens. |
6.0;Coool;

7.0; Bien  ;

7.1; Bien  ;

7.1; Bien  ;

10; Exceptionnel ;

8.0; Très bien ;

8.0; Très bien ;


6.0; Agréable ; Il y a une réceptionniste qui soit prend les clients pour des idiots ou qui est carrément une arnaqueuse, de toutes les façons cette personne n'a pas sa place dans un hôtel, j'étais directeur d'hôtel pendant 28 ans, je sais de quoi je parle... Par ailleurs l'hôtel mérite vraiment une rénovation, la Falaise à Yaoundé est d'un niveau nettement supérieur. |
7.0;Bien; L'eau à boire indisponible dans la chambre| Petit déj bien, l'emplacement bon pour facilité de déplacement et le calme|
8.3;agréable, je compte revenir; Je n'ai pas fait le tour de l’hôtel donc il m'est difficile de critiquer.| rien à dire sur le petit déjeuner, il était assez varié. Le personnel était accueillant et souriant. c'est très important|
8.0; Très bien ; la gentillesse|
6.0;Hotel corecte; Bien|
8.3; Très bien ; Le service petit déjeuner n'était pas  la hauteur du standing de l’hôtel. Serveuses lentes, peu réactives et pas attentionnées.|
7.9;Un cadre relaxant pour un séjour paisible; L'heure du petit déjeuner doit être revue. Parfois on fait la grasse matinée et quand on descend à 10h ce n'est plus possible. C'est pas normal.soit on le fait monter soit on vous le garde.car vous avez payé pour ça.| Le lit très confortable Le cadre très agréable Le personnel très aimable|
7.1; Bien  ; Les finitions dans la salle de bain sont à revoir, la salle de sport est bien équipé même si en dehors de l’hotel. D’ailleurs le coach brian est top ! Allez le voir!|
5.0;Passable; La chambre sentait la cigarette  L'environnement était bruyant|
2.5; Médiocre  ; J'ai demandé la navette 8h à l l'avance pour aller l'aéroport, à la fin j'ai été transporté en retard avec une voiture de transport privée (illégale) et dans un état très dégradé |
